Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,Full_Address,Latitude,Longitude
"Welcomhotel by ITC Hotels, Dwarka, New Delhi",4.0,Very Good,9348,5.0,Sector 10 Dwarka,,,"6,223",,", Sector 10 Dwarka, Delhi, India",28.5843113,77.0576933
The Suryaa New Delhi,4.1,Very Good,4314,5.0,New Friends Colony,,,"5,348","1,092",", New Friends Colony, Delhi, India",28.5671008,77.2697643
The Hosteller Delhi | Private Rooms & Dorms,4.3,Excellent,795,,New Friends Colony,,,"2,228",503,", New Friends Colony, Delhi, India",28.5671008,77.2697643
The LaLiT New Delhi,4.1,Very Good,7908,5.0,Connaught Place,,,"9,040","2,430",", Connaught Place, Delhi, India",28.6314022,77.2193791
Radisson Blu Plaza Delhi Airport,4.3,Excellent,7275,5.0,Mahipalpur ,Indira Gandhi International Airport,5.2 km ,"4,500",765,"Indira Gandhi International Airport, Mahipalpur , Delhi, India",28.5553942,77.0847985
Hotel Trans International,4.2,Very Good,6933,4.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,274",465,"Indira Gandhi International Airport, Mahipalpur , Delhi, India",28.5553942,77.0847985
The Leela Ambience Convention Hotel Delhi,4.4,Excellent,3845,5.0,East Delhi,,,"7,499",,", East Delhi, Delhi, India",28.6117432,77.2982794
Holiday Inn New Delhi Mayur Vihar,4.1,Very Good,2935,5.0,East Delhi,,,"6,249",,", East Delhi, Delhi, India",28.6117432,77.2982794
Radisson Blu Marina Hotel Connaught Place,3.8,Very Good,2642,5.0,Connaught Place,,,"8,000",,", Connaught Place, Delhi, India",28.6314022,77.2193791
The Metropolitan Hotel and Spa,4.1,Very Good,4049,5.0,Connaught Place,,,"7,500",,", Connaught Place, Delhi, India",28.6314022,77.2193791
Crowne Plaza Mayur Vihar,4.3,Excellent,3398,5.0,East Delhi,,,"8,649",,", East Delhi, Delhi, India",28.6117432,77.2982794
Hotel Smart Plaza,4.3,Excellent,4031,3.0,Mahipalpur ,Indira Gandhi International Airport,4.4 km ,"1,525",423,"Indira Gandhi International Airport, Mahipalpur , Delhi, India",28.5553942,77.0847985
Hotel Aero Star,4.3,Excellent,9760,4.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505,"Indira Gandhi International Airport, Mahipalpur , Delhi, India",28.5553942,77.0847985
Golden Bliss Near IGI Airport Mahipalpur,3.0,Good,108,,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"2,794",811,"Indira Gandhi International Airport, Mahipalpur , Delhi, India",28.5553942,77.0847985
Hotel International Inn,4.1,Very Good,12005,3.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,199",537,"Indira Gandhi International Airport, Mahipalpur , Delhi, India",28.5553942,77.0847985
The Park New Delhi,3.5,Very Good,6779,5.0,Connaught Place ,Connaught Place,730 m ,"7,905","2,125","Connaught Place, Connaught Place , Delhi, India",28.6171875,77.2078082
goSTOPS Delhi - Rooms & Dorms,4.2,Very Good,1076,,Chandni Chowk ,Red Fort,1.8 km ,"1,481",384,"Red Fort, Chandni Chowk , Delhi, India",28.6561624,77.2401402
Hotel Shanti Palace (Mahipalpur),3.7,Very Good,2308,4.0,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"2,604",532,"Indira Gandhi International Airport, Mahipalpur , Delhi, India",28.5553942,77.0847985
Radisson Blu Hotel New Delhi Dwarka,3.7,Very Good,7268,5.0,Sector 13 Dwarka,,,"5,953",714,", Sector 13 Dwarka, Delhi, India",28.6058267,77.0363145
Hotel Star,4.3,Excellent,1202,4.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505,"Indira Gandhi International Airport, Mahipalpur , Delhi, India",28.5553942,77.0847985
Hotel Aman Continental @ Paharganj,4.3,Excellent,5760,3.0,Paharganj ,New Delhi Railway Station,390 m ,"2,045",620,"New Delhi Railway Station, Paharganj , Delhi, India",28.6423423,77.2171563
"Vivanta New Delhi, Dwarka",4.3,Excellent,7707,5.0,Sector 21 Dwarka,,,"7,100",,", Sector 21 Dwarka, Delhi, India",28.5696878,77.0643221
The Gold Regency @ Paharganj,4.3,Excellent,2949,3.0,Paharganj ,New Delhi Railway Station,310 m ,"2,044",620,"New Delhi Railway Station, Paharganj , Delhi, India",28.6423423,77.2171563
"Red Brick | Home by Earthaa Escapes
Like a 3",4.2,Very Good,132,,Malviya Nagar,,,"2,548",696,", Malviya Nagar, Delhi, India",28.5339201,77.2124474
Crowne Plaza Rohini,4.3,Excellent,2702,5.0,Rohini,,,"6,498",,", Rohini, Delhi, India",28.7162092,77.1170743
"Park Plaza, Shahdara",3.7,Very Good,3422,5.0,East Delhi,,,"3,825",,", East Delhi, Delhi, India",28.6117432,77.2982794
Homestay AC Dormitory at Kashmiri Gate,3.9,Very Good,256,,North Delhi,,,735,229,", North Delhi, Delhi, India",28.7872279,77.0980903
Zone Connect Saket Delhi,3.9,Very Good,390,5.0,Saket,,,"5,900","1,205",", Saket, Delhi, India",28.521168,77.2022237
Crowne Plaza Okhla,4.3,Excellent,2802,5.0,Okhla Industrial Area,,,"6,300",,", Okhla Industrial Area, Delhi, India",28.5475409,77.2828271
Taurus Sarovar Portico,3.1,Good,845,4.0,Mahipalpur ,Indira Gandhi International Airport,4.0 km ,"2,976",608,"Indira Gandhi International Airport, Mahipalpur , Delhi, India",28.5553942,77.0847985
Sheraton New Delhi,4.5,Excellent,1706,5.0,Saket,,,"9,500",,", Saket, Delhi, India",28.521168,77.2022237
"Hyatt Centric Janakpuri, New Delhi",3.6,Very Good,850,5.0,Janakpuri,,,"5,599",,", Janakpuri, Delhi, India",28.6219272,77.0874757
Hotel Vertu,4.0,Very Good,3227,4.0,Mahipalpur ,Indira Gandhi International Airport,4.2 km ,"2,525",631,"Indira Gandhi International Airport, Mahipalpur , Delhi, India",28.5553942,77.0847985
"Le ROI, Delhi@ New Delhi Railway Station",4.0,Very Good,4625,3.0,Paharganj,,,"2,474",633,", Paharganj, Delhi, India",28.6414989,77.2140607
Ashiana Hotel @ New Delhi Railway Station,3.7,Very Good,176,,Paharganj ,New Delhi Railway Station,880 m ,883,307,"New Delhi Railway Station, Paharganj , Delhi, India",28.6423423,77.2171563
The Roseate,4.3,Excellent,2371,5.0,Mahipalpur ,Indira Gandhi International Airport,8.0 km ,"12,024","2,164","Indira Gandhi International Airport, Mahipalpur , Delhi, India",28.5553942,77.0847985
"The Connaught, New Delhi - IHCL SeleQtions",4.5,Excellent,2016,4.0,Connaught Place ,Connaught Place,980 m ,"7,499",,"Connaught Place, Connaught Place , Delhi, India",28.6171875,77.2078082
"New Delhi YMCA Tourist Hostel | Rooms & Wi-Fi
Like a 3",3.5,Very Good,1401,,Connaught Place ,Connaught Place,900 m ,"3,148",847,"Connaught Place, Connaught Place , Delhi, India",28.6171875,77.2078082
Golden Keys Inn,3.7,Very Good,752,3.0,North Delhi,,,"2,009",679,", North Delhi, Delhi, India",28.7872279,77.0980903
