Hospital Name,Address,LATITUDE,LONGITUDE
Brahm Shakti Hospital,"U-1/78, Budh Vihar, Phase-1, Main Kanjhawala Road",28.720098,77.07728
Sharp Sight Centre (East),"Sharp Sight Centre East 81, Degence, Enclave",28.643594,77.292569
Surya Laxmi Hospital,"F-258, 259, Vibaspuri",28.64254,77.070452
Sehgal Maternity & Nursing Home,"A-6, Panchwati, Near Azadpur Sabzee Mandi",28.728528,77.171986
Aakash Hospital,"90/43, Malviya Nagar,",28.547735,77.215931
Amar Leela Hospital (P) Ltd,B-1/6 Janak Puri,28.640883,77.089983
Amit Nursing Home,"A-3 Manak Vihar Ext, Tihar, Tihar",28.641184,77.109552
Metro Hospital & Cancer Institute(A Unit Of Metro Medical Services Ltd),21 Community Centre Preet Viharp,28.527226,77.076542
Ayushman Hospital,"# 2, Sec-12, Dwarka",28.610445,77.048389
A-One Hospital Pvt Ltd,"A-1/7, Panchim Vihar, Rohtak Road",28.678597,77.105524
Bali Nursing Home,"D.B.Gupta Road, Karol Bagh",28.651428,77.196887
Bhagwati Hospital,"Cs/Ocf-6, Sector-13 Rohini",28.726421,77.131525
Bhatia Global Hospital & Endosurgery Institute,"307 &308, Ambica Viharpaschim Vihar",28.666416,77.08226
B.T. Hospital,"182, Mukherjee Park, Khyla Road",28.63834,77.105223
Behl Hospital,"B-128, Naraina Viahar",28.629526,77.141208
Bansal Hospital & Research Centre Pvt Ltd,"3590, Bajar Sitaram",28.659864,77.226917
Bhagwan Mahavir Hospital,"Sector-14, Ext., Rohini, Madhuban Chowk",28.713775,77.131525
Centre For Sight,"B-5/24, Oppsite Deer Park Safdarjung Enclave",28.567336,77.191607
Central Hospital,"A-142/1, Ganesh Nagar P.O, Tilak Nagartilak Nagar",28.636947,77.21734
Chaudhary Eye Centre & Laser Vision,"4802/24, Bharat Ram Road, Darya Ganj, 24, Darya Ganj",28.642389,77.244012
National Pediatric Centre & Nads Harsh Hospital,"D.D.A Community Centre(Opp. S.F.S. Flats), Gulmohar",28.717407,77.121381
Chikitsa Nursing Home,"B-4, Saket",28.5411,77.204258
Deepak Memorial & Medical Research Centre,"5, Institutional Area, Vikas Marg Ex Ii",28.645685,77.300939
Delhi Hospital & Temple Nursing Home,"#1, Ansari Road, Darya Ganj, New",28.643444,77.244462
Dharmashila Cancer Hospital & Research Centre,"Dharmashila Marg, Vasundhara Enclavevasundhara Enclave",28.769465,77.156193
Dr. Pattnaik'S Laser Eye Institute,"M-1, Lajpat Nagar-111, Behind Mool Chand Hospital",28.56662,77.243665
Dr.Roshan Lal Hospital,"L-1, Shahdara North East",28.676676,77.284438
Dr.Sushma Jindal Hospital,"488/15, Near Radha Krishna Mandir, Dilshad Garden-(Near Radha Krishan Mandir)",28.684075,77.319368
Eden Hospital (P) Ltd,"B-162, East Of Kailash, Opp ""C"" Blk Mkt",28.560212,77.256711
Escorts Heart Institute & Research Centre Ltd,"Okhla Road, Hotal Surja",28.57005,77.28705
